"box_id","address","value","creation_height","settlement_height","date"
"fddfc8bb81c0567f89dfbf0b9c805334799c6e258facfc0ef0228241fd19c867","9gBk8Wjm2oMjHbigeDuqCA1uDNFyJ1VoHsnYnWunet4oWZAjLgu",100000,128938,128940,"2019-12-27 12:42:05+00"
"b2cd61795d498abf93a7cfbb1e193f6e4d9d4d7f470ab0a0379d7a95beafaa7f","9gBk8Wjm2oMjHbigeDuqCA1uDNFyJ1VoHsnYnWunet4oWZAjLgu",100000,131106,131109,"2019-12-30 12:24:20+00"
"ebfc4a104e0f142aa860ecd58412ea63c496348726677d6cab5beb4fd4664292","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,913,913,"2019-07-01 12:49:44+00"
"5561932f6e740193adbe7f52cd9992e481a2de3478d5c84fbde7df6dc18ce921","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,962,962,"2019-07-01 12:55:05+00"
"de900e550491eb1040e1cca82f22daaf56eac7058e7ef3a0ac416a95cb8a87c0","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,979,979,"2019-07-01 12:57:10+00"
"3d6b7a758d0a8448c0c954f4bc47862035be0c470d66ee6ab6b33c2f7dbf40d3","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,718,718,"2019-07-01 12:28:42+00"
"57d397ce5c8c5a8455dd9b994c7595a548bd6c2a21c06aa258a5b8d350ca427c","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,732,732,"2019-07-01 12:30:16+00"
"e1445cc892a368f14c9598b77811628088cc8459fc6e798b87c18ac2fb2ecb66","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,743,743,"2019-07-01 12:31:23+00"
"ffff1c21da2337e8e06477ec8bf6782fc9ddd4be1340bab858908dbe2ed4419d","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,1046,1046,"2019-07-01 13:04:54+00"
"df9900f9fa87e55df3ae94e45040e292b4632fe13df60044f1dfb40d85a4eed9","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,1087,1087,"2019-07-01 13:09:19+00"
"423fd572c285c92df6a2b6f23fc9a99f1dbbea3e19209cf281816d040d061c58","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,779,779,"2019-07-01 12:35:28+00"
"6f67d79e560769251baea67612d8beeaf13c89181c18a274c35858dc9cdeeb51","88dhgzEuTXaS2R3qC3Z4sQ6YdjPgNgPLVyhEySLzE1JUk3FaWLDZ6S89o2R1vSqEaVXoCBGXutN1Usb7",67500000000,367,367,"2019-07-01 11:48:51+00"
"1227566a69a6e7a9d3e7cfc1f2dfa48a1b367388e3dc59d695d652f939e82bd1","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,1202,1202,"2019-07-01 13:22:03+00"
"483e4d78470dd4d6793832118835bf82b8d13a7051d8e18cf45c6bf057456c20","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,857,857,"2019-07-01 12:43:32+00"
"96c813b4b3a254a7cab0711622c3492b9446bff30cb9e4461d9011f054334b1c","88dhgzEuTXaRqsp2nZs1uBNYedZFyCwTp7hYjWk23xt1pysyA1Roe5XawKRa7Y3cf6x12vErz6Afsbuw",67500000000,17595,17595,"2019-07-25 22:01:05+00"
"3366d63bf48adec9a26c61b28e1f136b4c7f919911125550a43f313fbb7d3c35","88dhgzEuTXaRiEgjbbuxUbhrhv3jQ9VqvFP5hb6XwwvAt8FTSQAwQDYHrgoMAb28rL7NgzSfBjZeKUHA",67500000000,648,648,"2019-07-01 12:20:28+00"
"c77682d6fe8e32d6b39b8993ab964034d297c9812d63810eaac81e8dae13aa51","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,912,912,"2019-07-01 12:49:36+00"
"eef5e31ab41f431fecf283c37bf8a97dfa6b90af58bc746799bec9d6658450f0","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,930,930,"2019-07-01 12:51:26+00"
"02d6c4a9f6ed5144c4b0038fbb613f6d2aaed789681a5fa5363584e29514311c","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,1026,1026,"2019-07-01 13:02:24+00"
"98009e0061aa56bdce5553688088a5966a129c53d71c01344ce007eac582937f","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,1089,1089,"2019-07-01 13:09:31+00"
"381e1867e2296cd409340f637055ca0e1902790879fc61d2824952a70ad17d64","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,1098,1098,"2019-07-01 13:10:30+00"
"5bb337f229457e697be64333cc70bbbad58497569cf745a7eab3d66fa2db5d8b","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,1102,1102,"2019-07-01 13:11:02+00"
"d423075578b7cf529126ea5ef78d52ba373016804df77e0786ccc890254cd5c2","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,1107,1107,"2019-07-01 13:11:39+00"
"a20d515a2d30c8bac1e7e893c9993d1a8886c24a9edf02e8d4faffa297f0e42e","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,1120,1120,"2019-07-01 13:13:09+00"
"7c216fa24cd7bcfdbfa3d46c6a9022c16e110bfcf98a6f928b63c1ca92363c00","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,1137,1137,"2019-07-01 13:15:07+00"
"b8e3db303d0be5a52ae32fb05800525e11eae6831635eea4f21a9a7a1ea0b4c8","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,1174,1174,"2019-07-01 13:19:12+00"
"2dec8e8a87bc6d6b359e86005a70b5afccc5fe89bb9712a1952163c374cf3a76","88dhgzEuTXaTxVjUMb1JRp1NN3cbXAn5vYE4P3HdTzhwwoi93QX49vyGsQ5HGg7vwKSEr4BAnmQob87d",67500000000,1205,1205,"2019-07-01 13:22:20+00"
